"source","target","weight","type"
"García-Pulgarín, Julián David","Vela, Daniel",1,"Undirected"
"Gómez-Restrepo, Javier","Vela, Daniel",1,"Undirected"
"Bonaldi, Pietro","Villamizar-Villegas, Mauricio",1,"Undirected"
"Guarín-López, Alexander","González-Gómez, Andrés",1,"Undirected"
"Guarín-López, Alexander","Skandalis, Daphné",1,"Undirected"
"Guarín-López, Alexander","Sanchez, Daniela",1,"Undirected"
"González-Gómez, Andrés","Skandalis, Daphné",1,"Undirected"
"González-Gómez, Andrés","Sanchez, Daniela",1,"Undirected"
"Skandalis, Daphné","Sanchez, Daniela",1,"Undirected"
"Guarín-López, Alexander","Moreno, José Fernando",1,"Undirected"
"Guarín-López, Alexander","Vargas-Herrera, Hernando",1,"Undirected"
"Moreno, José Fernando","Vargas-Herrera, Hernando",1,"Undirected"
"Carranza-Romero, Juan Esteban Ramiro","Estrada, Dairo Ayiber",1,"Undirected"
"Gómez-Pineda, Javier Guillermo","Julio-Román, Juan Manuel",1,"Undirected"
"González, Camilo","Silva-Escobar, Luisa Fernanda",1,"Undirected"
"González, Camilo","Vargas-Riaño, Carmiña Ofelia",1,"Undirected"
"González, Camilo","Velasco, Andrés M.",1,"Undirected"
"Silva-Escobar, Luisa Fernanda","Vargas-Riaño, Carmiña Ofelia",1,"Undirected"
"Silva-Escobar, Luisa Fernanda","Velasco, Andrés M.",1,"Undirected"
"Vargas-Riaño, Carmiña Ofelia","Velasco, Andrés M.",1,"Undirected"
"Cárdenas-Hurtado, Camilo Alberto","Hernández-Montes, María Alejandra",1,"Undirected"
"Cárdenas-Hurtado, Camilo Alberto","Torres-Gorron, Jhon Edwar",1,"Undirected"
"Hernández-Montes, María Alejandra","Torres-Gorron, Jhon Edwar",1,"Undirected"
"Rozo, Sandra","Vásquez, Diego Mauricio",1,"Undirected"
"Rozo, Sandra","Estrada, Dairo Ayiber",1,"Undirected"
"Vásquez, Diego Mauricio","Estrada, Dairo Ayiber",1,"Undirected"
"Ocampo-Díaz, Sergio","Rodríguez-Niño, Norberto",1,"Undirected"
"Iregui-Bohórquez, Ana María","Ramos-Forero, Jorge Enrique",1,"Undirected"
"Iregui-Bohórquez, Ana María","Saavedra, Luz Amparo",1,"Undirected"
"Ramos-Forero, Jorge Enrique","Saavedra, Luz Amparo",1,"Undirected"
"Melo-Velandia, Luis Fernando","Misas A., Martha",1,"Undirected"
"Gonzalez, Mario Alejandro","León, John Jairo",1,"Undirected"
"Lozano-Espitia, Luis Ignacio","Ramos-Forero, Jorge Enrique",1,"Undirected"
"Gómez-González, José Eduardo","Parra-Polanía, Julián Andrés",1,"Undirected"
"Gómez-González, José Eduardo","Villamizar-Villegas, Mauricio",1,"Undirected"
"Parra-Polanía, Julián Andrés","Villamizar-Villegas, Mauricio",1,"Undirected"
"Martinez-Rivera, Wilmer Osvaldo","Zárate-Solano, Héctor Manuel",1,"Undirected"
"Pérez-Villalobos, Jhonatan","León-Rincón, Carlos Eduardo",1,"Undirected"
"Pérez-Villalobos, Jhonatan","Mariño, Ricardo",1,"Undirected"
"León-Rincón, Carlos Eduardo","Mariño, Ricardo",1,"Undirected"
"Garavito-Acosta, Aarón Levi","López-Valenzuela, David Camilo",1,"Undirected"
"Garavito-Acosta, Aarón Levi","Montes, Enrique",1,"Undirected"
"López-Valenzuela, David Camilo","Montes, Enrique",1,"Undirected"
"Rincón-Castro, Hernán","Toro-Córdoba, Jorge Hernán",1,"Undirected"
"Barón-Rivera, Juan David","Cobb-Clark, Deborah",1,"Undirected"
"León-Rincón, Carlos Eduardo","Laserna-Jaramillo, Juan Mario",1,"Undirected"
"González-Gómez, Andrés","Ocampo-Díaz, Sergio",1,"Undirected"
"González-Gómez, Andrés","Rodríguez-Guzmán, Diego Arturo",1,"Undirected"
"González-Gómez, Andrés","Rodríguez-Niño, Norberto",1,"Undirected"
"Ocampo-Díaz, Sergio","Rodríguez-Guzmán, Diego Arturo",1,"Undirected"
"Ocampo-Díaz, Sergio","Rodríguez-Niño, Norberto",1,"Undirected"
"Rodríguez-Guzmán, Diego Arturo","Rodríguez-Niño, Norberto",1,"Undirected"
"Vargas-Herrera, Hernando","González-Gómez, Andrés",1,"Undirected"
"Vargas-Herrera, Hernando","González-Molano, Eliana Rocío",1,"Undirected"
"Vargas-Herrera, Hernando","Romero-Chamorro, José Vicente",1,"Undirected"
"Vargas-Herrera, Hernando","Rojas, Luis Eduardo",1,"Undirected"
"González-Gómez, Andrés","González-Molano, Eliana Rocío",1,"Undirected"
"González-Gómez, Andrés","Romero-Chamorro, José Vicente",1,"Undirected"
"González-Gómez, Andrés","Rojas, Luis Eduardo",1,"Undirected"
"González-Molano, Eliana Rocío","Romero-Chamorro, José Vicente",1,"Undirected"
"González-Molano, Eliana Rocío","Rojas, Luis Eduardo",1,"Undirected"
"Romero-Chamorro, José Vicente","Rojas, Luis Eduardo",1,"Undirected"
